Id;Name;Name Short;Nick Name;Abbreviation;Nation;Division;Last Division;Reserve Division;Reputation;Year Founded;Cash;Player Budget;Attendance;Min Attendance;Max Attendance;Stadium;Practice Facilities;Foreground Colour 1;Background Colour 1;Trim Colour 1;Foreground Colour 2;Background Colour 2;Trim Colour 2;Foreground Colour 3;Background Colour 3;Trim Colour 3;Favourite Staff 1;Favourite Staff 2;Favourite Staff 3;Disliked Staff 1;Disliked Staff 2;Disliked Staff 3;Rival 1;Rival 2;Rival 3;
30;Rauman Lukko;Lukko;---;LUK;Finland;Liiga;Liiga;Liiga;7150;1936;-2200000;1797868;6110;2100;6110;Kivikylän Areena;Kivikylän Areena;NHL? Yellow;NHL? Blue 4;White;NHL? Blue 4;NHL? Yellow;NHL? Yellow;Black;White;White;Kalevi Miettinen;Juho Palola;Visa Hirvonen;Aku Helminen;---;---;Porin Ässät;---;---;
31;Oulun Kärpät;Kärpät;---;KÄR;Finland;Liiga;Liiga;Liiga;6389;1946;440000;2453579;7288;3850;7288;Oulun Energia Areena;Oulun Energia Areena;White;NHL? Black;NHL? Gold 2;NHL? Black;White;NHL? Gold 2;Black;White;White;---;---;---;Niklas Ikonen;---;---;Jyväskylän JYP;---;---;
32;Espoon Blues;Blues;---;BLU;Finland;Mestis;Mestis;Mestis;3753;1984;-3600000;1086600;7377;3000;7377;Barona Areena;Barona Areena;White;NHL? Bolts Blue;NHL? Yellow;NHL? Bolts Blue;White;NHL? Yellow;Black;White;White;---;---;---;---;---;---;Helsingin Jokerit;Helsingin IFK;---;
33;Hämeenlinnan Pallokerho;HPK;---;HPK;Finland;Liiga;Liiga;Liiga;5885;1929;-120000;3606409;5592;2200;6400;Ritari-areena;Ritari-areena;Black;NHL? Islanders Orange;White;Black;White;NHL? Islanders Orange;Blue 1;Orange 1;White;Matias Tolvanen;Sauli Järvinen;Niko Peltola;---;---;---;Tampereen Ilves;Tampereen Tappara;---;
34;Lappeenrannan SaiPa;SaiPa;---;SAI;Finland;Liiga;Liiga;Liiga;6149;1948;-815700;1906158;4800;2500;4825;Kisapuisto;Kisapuisto;Yellow 2;NHL? Black;Black;NHL? Black;Yellow 2;White;Black;White;White;Jonny Nurminen;---;Jeff Carter;---;---;---;---;---;---;
35;Lahden Pelicans;Pelicans;---;PEL;Finland;Liiga;Liiga;Liiga;4576;1975;214200;1437570;4776;1850;5330;Isku Areena;Isku Areena;Black;Cyan 1;White;Black;White;Cyan 1;Black;White;White;Jon Wiens;---;---;Aku Helminen;---;---;---;---;---;
36;Jyväskylän JYP;JYP;---;JYP;Finland;Liiga;Liiga;Liiga;7137;1977;1030000;2807164;5269;2100;5592;Synergia-areena;Synergia-areena;NHL? Red;NHL? Black;White;NHL? Black;White;NHL? Red;Blue 5;Blue 4;White;Nikke Lehtonen;Brodie Donnelly;---;Niklas Ikonen;---;---;Kuopion KalPa;Oulun Kärpät;---;
37;Porin Ässät;Ässät;---;ÄSS;Finland;Liiga;Liiga;Liiga;6722;1967;368700;2085210;6234;2000;6466;Isomäen jäähalli;Isomäen jäähalli;Black;NHL? Red;White;Black;White;NHL? Red;Black;White;White;Pauli Virtanen;Roni Hietala;---;---;---;---;Rauman Lukko;---;---;
38;Mikkelin Jukurit;Jukurit;---;JUK;Finland;Mestis;Mestis;Mestis;4323;1970;0;271030;3809;820;4500;Kalevankankaan jäähalli;Kalevankankaan jäähalli;Blue 4;Yellow 1;Red 1;Yellow 1;Blue 4;Red 1;Black;White;White;---;---;---;Niklas Ikonen;Nikke Lehtonen;---;Vaasan Sport;---;---;
39;Djurgårdens IF;Djurgården;Järnkaminerna;DIF;Sweden;SHL;SHL;SHL;6605;1922;1250000;7926005;8073;4000;8371;Hovet;Hovet;Red 2;Blue Navy Dark;NHL? Yellow;Blue Navy Dark;White;Red 2;Black;White;White;Cedrick Gomane;---;---;Claes Bertilsson;---;---;AIK Hockey;Färjestads BK;Södertälje SK;
40;Färjestads BK;Färjestad;---;FBK;Sweden;SHL;SHL;SHL;5441;1932;11000000;5408136;8389;5500;8647;Löfbergs Lila Arena;Löfbergs Lila Arena;White;NHL? Dark Green;Gold;NHL? Dark Green;White;Gold;Black;White;White;Mario Fagerlund;Kaj Högberg;Max Nordh;---;---;---;Frölunda HC;HV71;Djurgårdens IF;
41;Brynäs IF;Brynäs;---;BIF;Sweden;SHL;SHL;SHL;6492;1939;950000;4416484;8785;5000;8825;Gavlerinken Arena;Gavlerinken Arena;Red 1;Black;Yellow 1;Black;White;Yellow 1;Black;White;White;Gage Gettinger;---;---;---;---;---;Leksands IF;Timrå IK;Mora IK;
42;MODO Hockey;MODO;---;MODO;Sweden;SHL;SHL;SHL;7433;1921;3500000;3866858;8160;6000;8160;Fjällräven Center;Fjällräven Center;Green 1;Red 1;Black;Red 1;White;Green 1;Black;White;White;Frederik Lihagen;Kevin Hjalmarsson;---;---;---;---;Timrå IK;Luleå HF;IF Björklöven;
43;IF Malmö Redhawks;Malmö;Redhawks;MIF;Sweden;SHL;SHL;SHL;7198;1972;2500000;5009964;13105;2500;13780;Malmö Arena;Malmö Arena;Black;Red 1;White;Black;White;Red 1;Black;White;White;Len Vallerand;---;---;---;---;---;Rögle BK;Djurgårdens IF;---;
44;Luleå HF;Luleå;---;LHF;Sweden;SHL;SHL;SHL;7541;1977;750000;6887257;7026;4000;7040;Coop Arena;Coop Arena;Red 1;Black;Yellow 1;Red 1;White;Black;Black;White;White;Nicklas Landström;Marcus Jacobsson;Patrik Laine;Claes Bertilsson;---;---;Skellefteå AIK;MODO Hockey;Djurgårdens IF;
45;AIK Hockey;AIK;Gnaget;AIK;Sweden;HockeyAllsvenskan;HockeyAllsvenskan;HockeyAllsvenskan;4671;1921;750000;1536509;7828;800;8094;Hovet;Hovet;Black;Black;Yellow 1;Black;White;Yellow 1;Black;White;White;---;---;---;---;---;---;Djurgårdens IF;---;Huddinge IK;
46;Frölunda HC;Frölunda;Indians;FHC;Sweden;SHL;SHL;SHL;5842;1938;3000000;6700192;12064;10800;12884;Scandinavium;Scandinavium;Green 2;Red 1;White;Green 2;White;Red 1;Black;White;White;Robbie Musselman;Linus Weissbach;Pierre Engvall;---;---;---;Färjestads BK;HV71;---;
47;Timrå IK;Timrå;Red Eagles;TIK;Sweden;HockeyAllsvenskan;SHL;HockeyAllsvenskan;4891;1938;1600000;1494881;5980;5100;6300;E.ON Arena;E.ON Arena;Red 1;Red 1;White;Red 1;White;Red 1;Black;White;White;---;---;---;---;---;---;MODO Hockey;---;---;
48;HV71;HV71;HV;HV71;Sweden;SHL;SHL;SHL;4900;1971;5000000;2254291;7284;6900;7338;Kinnarps Arena;Kinnarps Arena;Yellow 1;NHL? Navy;White;NHL? Navy;White;Yellow 1;Black;White;White;Kristoffer Löfving;---;---;---;---;---;Linköpings HC;Frölunda HC;Växjö Lakers Hockey;
49;Leksands IF;Leksand;Stars;LIF;Sweden;SHL;SHL;SHL;5120;1938;2900000;2311662;8050;3600;8050;Tegera Arena;Tegera Arena;Blue 1;White;White;Blue 1;Blue 1;White;Black;White;White;Alexander Samuelsson;Kevin Duane;Simon Martinsson;---;---;---;Mora IK;Brynäs IF;Färjestads BK;
50;IF Björklöven;Björklöven;Löven;IFB;Sweden;HockeyAllsvenskan;HockeyAllsvenskan;HockeyAllsvenskan;3551;1970;750000;367500;5308;2900;6000;T3 Center;T3 Center;Yellow 1;Green 2;White;Green 2;White;Yellow 1;Black;White;White;Torgny Söderberg;---;---;---;---;---;Skellefteå AIK;Tegs SK;---;
51;VHK Vsetín;Vsetín;Vala;VSE;Czech Republic;Czech Second League;Czech Extraliga;Second League B;3282;1904;0;260000;2200;1200;5380;Zimní stadion Na Lapaci;Zimní stadion Na Lapaci;Green 1;Yellow 1;Yellow 1;Yellow 1;Green 1;Green 1;Black;White;White;---;---;---;---;---;---;PSG Zlín;HC Vítkovice Steel;HC Sparta Praha;
52;Orli Znojmo;Znojmo;---;ZNO;Czech Republic;First Division;Erste Bank Eishockey Liga;First Division;5500;1933;800000;1823835;3000;2000;11500;Orlí hnízdo;Orlí hnízdo;White;Red 1;Black;Black;Red 1;Red 1;Black;White;White;---;---;---;---;---;---;SK Horácká Slavia Trebíc;HC Dukla Jihlava;HC Kometa Brno;
53;HC CSOB Pojistovna Pardubice;Pardubice;---;PCE;Czech Republic;Czech Extraliga;Czech Extraliga;Czech Extraliga;6532;1923;7797000;3388806;8900;4800;10194;CEZ Arena Pardubice;CEZ Arena Pardubice;White;Red 2;Red 2;Red 2;White;White;Black;White;White;Stuart St. Pierre;---;---;---;---;---;HC Slavia Praha;HK Mountfield Hradec Králové;HC Sparta Praha;
54;HC VERVA Litvínov;Litvínov;Chemici;LIT;Czech Republic;Czech Extraliga;Czech Extraliga;Czech Extraliga;6305;1945;3869000;3267407;4556;2200;7000;Zimní Stadion Ivana Hlinky;Zimní Stadion Ivana Hlinky;Yellow 2;Black;Black;Black;Yellow 2;Yellow 2;Black;White;White;---;---;---;---;---;---;Bílí Tygri Liberec;---;Piráti Chomutov;
55;HC Sparta Praha;Sparta;---;SPA;Czech Republic;Czech Extraliga;Czech Extraliga;Czech Extraliga;5903;1903;8842000;2066643;3817;3500;13150;Tipsport Arena Prague;Tipsport Arena Prague;White;Black;Purple 3;Purple 3;White;Black;Grey 1;Black;White;Radko Rzzicka;---;---;---;---;---;HC Slavia Praha;HC CSOB Pojistovna Pardubice;Rytíri Kladno;
56;HC Vítkovice Steel;Vítkovice;---;VIT;Czech Republic;Czech Extraliga;Czech Extraliga;Czech Extraliga;6596;1928;3317000;1430000;4439;2500;9000;CEZ Aréna;CEZ Aréna;White;Blue 2;Red 1;Blue 2;White;Red 1;Black;White;White;Jagger Reeve;---;Milan Moravec;---;---;---;HC Ocelári Trinec;HC AZ Havírov 2010;HC Sparta Praha;
57;HC Slavia Praha;Slavia;---;SLA;Czech Republic;Czech Extraliga;Czech Extraliga;Czech Extraliga;6334;1900;6412000;2415000;3699;2700;18000;O2 Arena;O2 Arena;White;Red 1;Red 1;Red 1;White;White;Black;White;White;Bedrich Cerný;---;---;---;---;---;HC Sparta Praha;HC CSOB Pojistovna Pardubice;HC Plzen 1929;
58;PSG Zlín;Zlín;½evci;ZLN;Czech Republic;Czech Extraliga;Czech Extraliga;Czech Extraliga;6600;1928;6356000;2233602;4888;3000;7000;Zimní Stadion Ludka Cajky;Zimní Stadion Ludka Cajky;Yellow 1;Blue 4;Blue 4;Blue 4;Yellow 1;Yellow 1;Black;White;White;Blue Beaudoin;---;---;---;---;---;VHK Vsetín;Orli Znojmo;HC Plzen 1929;
59;HC Ocelári Trinec;Trinec;---;TRI;Czech Republic;Czech Extraliga;Czech Extraliga;Czech Extraliga;7000;1929;5526000;3360001;4068;1800;5200;Werk Arena;Werk Arena;Grey 3;Red 2;White;Red 2;White;Grey 3;Black;White;White;---;---;---;---;---;---;HC Vítkovice Steel;HC CSOB Pojistovna Pardubice;HC Sparta Praha;
60;HC Plzen 1929;Plzen;---;PLZ;Czech Republic;Czech Extraliga;Czech Extraliga;Czech Extraliga;5724;1929;3925000;2296531;5474;3500;8420;CEZ Aréna;CEZ Aréna;White;Blue 2;Blue 2;Blue 2;White;White;Black;White;White;---;---;---;---;---;---;HC Energie Karlovy Vary;HC Sparta Praha;PSG Zlín;
61;CEZ Motor Ceské Budejovice;C. Budejovice;---;CEB;Czech Republic;First Division;Czech Extraliga;First Division;6000;1928;4972000;2485000;4199;2800;6421;Budvar Aréna;Budvar Aréna;White;Red 1;Blue 2;Red 1;White;Blue 2;Black;White;White;---;Václav Mintel;---;---;---;---;IHC KOMTERM Písek;HC Sparta Praha;HC Dukla Jihlava;
62;Rytíri Kladno;Kladno;---;KLA;Czech Republic;First Division;Czech Extraliga;First Division;4950;1924;3040000;1700000;3334;2000;8600;Zimní stadion Kladno;Zimní stadion Kladno;Grey 3;Blue 1;White;Blue 1;White;Grey 3;Black;White;White;---;---;---;---;---;---;HC Sparta Praha;HC Berounstí Medvedi;HC Slavia Praha;
63;HC AZ Havírov 2010;Havírov;---;HAV;Czech Republic;First Division;First Division;First Division;2500;1928;500000;600000;1400;800;5500;K&K Pneu aréna;K&K Pneu aréna;Black;Red 1;White;Black;White;Red 1;Black;White;White;---;---;---;---;---;---;HC Vítkovice Steel;HC Ocelári Trinec;HC Sparta Praha;
64;HC Energie Karlovy Vary;K. Vary;---;KVA;Czech Republic;Czech Extraliga;Czech Extraliga;Czech Extraliga;5828;1932;4697000;1858377;2588;2000;6000;KV Arena;KV Arena;White;Green 2;Yellow 1;Green 2;Yellow 1;Black;Black;White;White;---;---;---;---;---;---;HC Plzen 1929;HC Sparta Praha;HC VERVA Litvínov;
65;Adler Mannheim;Mannheim;---;MAN;Germany;DEL;DEL;DEL;5871;1938;0;6467765;9500;8000;14500;SAP Arena;SAP Arena;Red 1;Blue 2;White;Red 1;White;Blue 2;Black;White;White;---;---;---;---;---;---;---;---;---;
66;Kölner Haie;Köln;---;KEC;Germany;DEL;DEL;DEL;3800;1972;0;3760000;9200;6000;13500;Lanxess Arena;Lanxess Arena;Red 1;Black;White;Red 1;White;Black;Black;White;White;---;---;---;---;---;---;Düsseldorfer EG;Krefeld Pinguine;Adler Mannheim;
67;Thomas Sabo Ice Tigers;Nürnberg;---;NIT;Germany;DEL;DEL;DEL;5067;1980;0;2700000;4628;3600;8200;Arena Nürnberger Versicherung;Arena Nürnberger Versicherung;Red 1;Blue 4;White;Blue 4;White;Red 1;Black;White;White;---;Johannes Bischofberger;Darnell Ming;---;---;---;Augsburger Panther;ERC Ingolstadt;Adler Mannheim;
68;EC Kassel Huskies;Kassel;---;HUS;Germany;Oberliga;DEL;Oberliga;1300;0;0;1300000;3764;3000;6100;Eissporthalle Kassel;Eissporthalle Kassel;White;Blue 1;Red 1;Blue 1;White;Red 1;Black;White;White;---;---;---;---;---;---;---;Adler Mannheim;Grizzly Adams Wolfsburg;
69;Hannover Scorpions;Hannover;---;HAN;Germany;Oberliga;DEL;Oberliga;4500;1975;0;1730000;4100;3500;10000;TUI Arena;TUI Arena;Black;Red 1;Gold Nashville;Gold Nashville;Black;Red 1;Black;White;White;---;Atle Skadsdammen;---;---;---;---;Hannover Indians;Grizzly Adams Wolfsburg;---;
70;Krefeld Pinguine;Krefeld;---;KEV;Germany;DEL;DEL;DEL;4758;1936;0;2600000;4300;3500;5500;KönigPalast;KönigPalast;Black;Yellow 1;White;Yellow 1;White;Black;Black;White;White;---;---;---;---;---;---;Düsseldorfer EG;Kölner Haie;Moskitos Essen;
71;SERC Wild Wings;Schwenningen;---;SERC;Germany;DEL;DEL2;DEL;3500;1904;0;1590000;3062;1225;6426;Helios Arena;Helios Arena;NHL? Metallic Silver;Blue 1;White;Blue 1;White;NHL? Metallic Silver;Black;White;White;---;---;---;---;---;---;EHC Freiburg;Bietigheim Steelers;EVR Tower Stars;
72;Düsseldorfer EG;Düsseldorf;---;DEG;Germany;DEL;DEL;DEL;6138;1935;0;5009703;5200;3600;14500;ISS Dome;ISS Dome;Black;Red 1;Yellow 1;Red 1;Yellow 1;Black;Black;White;White;Josef Martin;---;---;---;---;---;Kölner Haie;Krefeld Pinguine;Iserlohn Roosters;
73;Eisbären Berlin;Berlin;---;EBB;Germany;DEL;DEL;DEL;6600;1954;0;6210757;13000;7000;17000;O2 World;O2 World;White;Blue 1;Red 1;Blue 1;White;Red 1;Black;White;White;Brendan Shinnimin;---;---;---;---;---;---;Augsburger Panther;---;
74;Augsburger Panther;Augsburg;---;AUG;Germany;DEL;DEL;DEL;5101;1878;0;1801358;3800;2800;7774;Curt-Frenzel-Stadion;Curt-Frenzel-Stadion;Red 2;Green 2;White;Red 2;White;Green 2;Black;White;White;---;---;---;---;---;---;ERC Ingolstadt;Eisbären Berlin;Thomas Sabo Ice Tigers;
75;Iserlohn Roosters;Iserlohn;---;IEC;Germany;DEL;DEL;DEL;3000;1959;0;1950000;3344;2100;4500;Eissporthalle am Seilersee;Eissporthalle am Seilersee;Red 2;NHL? Navy;White;Red 2;White;NHL? Navy;Black;White;White;---;---;---;---;---;---;Moskitos Essen;Düsseldorfer EG;---;
76;Moskitos Essen;Essen;Moskitos;ESCM;Germany;Oberliga;---;Oberliga;2607;0;0;600000;1562;625;5543;Eissporthalle Westbahnhof;Eissporthalle Westbahnhof;Green 1;Black;NHL? Purple 2;Green 1;White;NHL? Purple 2;Black;White;White;---;---;---;---;---;---;---;---;---;
